model,data,auc,acc,rec,prec,f1
dt,test,0.5005207661961695,0.744607820399833,0.15084485407066053,0.15187132694092176,0.15135635018495686
rf,test,0.6551465923189714,0.8827867711860475,0.32903225806451614,0.7574257425742574,0.4587706146926536
ab,test,0.7007108902522209,0.8975369915116657,0.4187403993855607,0.8113095238095238,0.5523809523809524
gb,test,0.6388345273677934,0.8840391483835057,0.28755760368663597,0.8379588182632051,0.42817932296431843
lr,test,0.6209284834788867,0.8692889280578877,0.26513056835637483,0.669511249030256,0.3798415492957747
sgd,test,0.5629619204720011,0.8630734264112435,0.13302611367127495,0.7690941385435168,0.22682032477737035
gnb,test,0.6359080603536249,0.8619138178950786,0.3121351766513057,0.5792474344355758,0.4056697943701338
xg,test,0.6854861284548784,0.8914142585463147,0.3904761904761905,0.7807125307125307,0.5205816096661888
